text,label
@Brent_Riley_ @TheThinker1958 @CNN It is estimated that it would take four years to reach herd immunity. I'm sure you could imagine how many deaths we would have from this in four years.,Non-conspiratorial
@drdavidsamadi @realDonaldTrump Dont be surprised if certain people do something to doses of HCQ to try to prove their point. I dont put it past these people just because Trump mentions it. They go completely nuts even if he is right they would rather die I guess then try it.,conspiratorial
"@JohnAyr12294351 @drdavidsamadi Except for it already beginning in multiple locations, it sounds like a paranoid fantasy.  But I think the fix is in.  pHARMas $$ talks, press and politicians become eagerly complicit, the people get herded.  Herd immunity as a way of talking about humanity was a tip-off. ",conspiratorial
@63_vet @realDonaldTrump Take that up with the people who lied to us about HCQ with Zinc not working. It does.,conspiratorial
"@chr1sa Another reason why the UK's initial ""let's all get herd immunity asap"" stance was so asinine: infections delayed = lives saved.",Non-conspiratorial
@realDonaldTrump Your an idiot Donnie give it up already with hydroxychloroquine.,Non-conspiratorial
"@TomFitton We know that keeping a safe distance and hand washing helps. We know that HCQ, Zinc, Vitamin C &amp; D &amp; zpack in the first 5 days is a huge help. 
We know that shutting down does not kill the virus.
The rest is a guess",conspiratorial
Whaaat? Then why is my doc forbidden from prescribing HCQ for Covid-19??? ,conspiratorial
"Trump Jabs FDA For Rejecting HCQ, Claims 'Deep State, Or Whoever' Delaying Vaccine Trials #zerohedge",conspiratorial
WOW! WATCH THIS VIDEO Hydroxychloroquine/zinc/ZPAC  - sue for WRONGFUL DEATHS if your family member was denied it  ,conspiratorial
"@sethmoulton This is so pathetic. Like Russia, children in cages and Hydroxychloroquine,  the Democrats never gave 2 shits about the USPS until they invented their latest hoax.

Why didn't they demand safe voting in person? Anyone with a brain the size of corn kernel knows.",conspiratorial
@PurveyorofTrut4 @cardamone_mike Tylenol kills more than HCQ.,conspiratorial
"He has lifted his ""March 27 Executive Order 20-23 restrictions on chloroquine
and hydroxychloroquine.""

Trump wins again. A fact is not bragging. It took about five months, but better now than never. ",conspiratorial
@Yascha_Mounk And this will lead us to herd immunity sooner.  Yeah!  Party on kids!!!!!,conspiratorial
@waltshaub What's the betting they'll push a bleach/hydroxychloroquine cocktail?,Non-conspiratorial
"@jennybethm @realDonaldTrump @TomFitton @RepGosar @dbongino @zev_dr @marklevinshow @richardursomd @JamesTodaroMD @RepAndyBiggsAZ @stella_immanuel @DonaldJTrumpJr Great, thanks for all you do.

Dont forget to learn the Dutch RIVM, because they ban HCQ from until november 2019 in the Netherlands: A BIG shame!! Many dead people that don't have to die.

@MinPres @hugodejonge @FleurAgemaPVV 

#HCQ 
#Spoedwet
#nederland
#netherlands",conspiratorial
@American14353 Is it realistic to imagine that those at risk could be completely protected and yet live with those who are busy trying to achieve herd immunity?,Non-conspiratorial
"A vaccine, or a spike in deaths: How America can build herd immunity to the coronavirus
",Non-conspiratorial
"@Matthew_4_Trump You can bet your ass if HCQ actually killed someone the media would made sure we heard about it. So yeah, it was all bullshit politics..which, in fact, may be what actually DID kill people!",conspiratorial
"@Teamnguns Thank you. Ivermectin has a different pathway. Ive certainly heard of it. Much like hydroxychloroquine, it will require peer review / vetting. Remember ppl can get better on their own too w no association to the drug they are taking. However more tools in the box benefit us all.",Non-conspiratorial
"@NicholasFlorko This the same reason we have to hear about HCQ every damn day. So, he can claim the virus would have disappeared if Fauci had not panned the miracle drug.",Non-conspiratorial
@nypost Isn't it amazing that almost everything seems to be able to help treat coronavirus except for hydroxychloroquine?,Non-conspiratorial
"@daniellevitt22 @TheMelt Our inferences result in herd immunity thresholds around 10-20%, considerably lower than the minimum coverage needed to interrupt transmission by random vaccination

",conspiratorial
"@theonlyrymac @just_hangn I did the statistics for Alberta
0.002% of the population (4.3M in Alberta) is affected right now. Swine flu was 0.02% no lock down no panic no economic crisis. #scamdemic ",conspiratorial
"Let's just make this crystal clear: hydroxychloroquine shouldn't be used to treat COVID. At all. Period. End of story [Obvious]
 #cliptags",Non-conspiratorial
"@hendrix11688231 @hildyjohns @kurteichenwald A) it's a #scamdemic2020 #Plandemic 
B) You haven't considered a world in which everyone thought as little as you do.",conspiratorial
"Yeah, Trump our savior, or is he....? #Trump #Maga #neworldorder #tirrany #covid-19 #coronavirus #guncontrol #fema #scamdemic #plandemic
TRUMP 2020 QANON #MAGA via @YouTube",conspiratorial
"@JRubinBlogger @realDonaldTrump So who gets the credit for the rest of the world mam? The President also? If people were given hydroxychloroquine in an early stage, would the numbers be that high mam? When in February the President closes the borders to China, while in March De Blasio/shows, Pelosi/parades mam?",conspiratorial
"@AynRandPaulRyan @realDonaldTrump @SteveFDA HCQ is so dangerous that pregnant and nursing women can take it.... 

Pure fucking ignorance by the Democrats.",conspiratorial
@PhysicianWeary @stella_immanuel Plenty of evidence blocking use of HCQ is political and causing death.,conspiratorial
"@N_Squillari @MagdaSzubanski what, is it so hard to look up my profile? gary mills, happy?do the fucking research yourself. DR. Fauci was head of NIH in 2005 and knew then that HCQ was effective against SARS 1. there are studies proving that covid 19 attacks using the same receptors as SARS 1. FAUCI lied",conspiratorial
"My answer to #COVID #Plandemic = The #CURE 
click here.. 
if you Dare see the #Truth by #Gas ",conspiratorial
"@EWoodhouse7 I am so sick and tired of the mask! Masks here, masks there. It is the dumbest damn thing I have ever seen in my life! Done with it all!! #Scamdemic",conspiratorial
"How covid-19 conspiracy videos keep getting millions of views

The ongoing battle between social-media companies and covid-19 misinformation pushersincluding US president Donald Trumpstepped up again this week thanks to a new viral video.

",Non-conspiratorial
@Steve_Flesch Election Infection...#scamdemic,conspiratorial
